"filename", "language", "XML", "JSON", "JavaScript", "Markdown", "JSON with Comments", "Python", "HTML", "CSS", "comment", "blank", "total"
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Beat-Testing/index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Beat-Testing/testbeat.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/MIDIPrepTool.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 8, 12, 73
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxHeroServer.js", "JavaScript", 0, 0, 268, 0, 0, 0, 0, 0, 51, 74, 393
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Saxophone-Hero.code-workspace", "JSON with Comments", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/code/datePlusEightBars.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/code/datenow.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/code/fit_jweb_to_bounds.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/code/interfacecolor.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 6, 8, 48
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/code/resize_n4m_monitor_patcher.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/code/victorylaps.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/data/connectSettings.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/data/dsp-settings.json", "JSON", 0, 64, 0, 0, 0, 0, 0, 0, 0, 5, 69
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/duplicates/duplicates_2024-09-05_21-35-12/dsp-settings.json", "JSON", 0, 76, 0, 0, 0, 0, 0, 0, 0, 5, 81
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/media/random.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/media/saw.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/media/sine.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/media/square.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/n4m-qrcode-generator-master/README.md", "Markdown", 0, 0, 0, 24, 0, 0, 0, 0, 0, 14, 38
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/n4m-qrcode-generator-master/package-lock.json", "JSON", 0, 298, 0, 0, 0, 0, 0, 0, 0, 1, 299
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/n4m-qrcode-generator-master/package.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/SaxophoneHero-Max/n4m-qrcode-generator-master/qrcode-generator.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 5, 3, 23
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/TestMidi.json", "JSON", 0, 1008, 0, 0, 0, 0, 0, 0, 0, 0, 1008
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Timeline-Dev/Soprano1.js", "JavaScript", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 185
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Timeline-Dev/index.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Timeline-Dev/soprano.js", "JavaScript", 0, 0, 473, 0, 0, 0, 0, 0, 0, 0, 473
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Timeline-Dev/soprano.json", "JSON", 0, 473, 0, 0, 0, 0, 0, 0, 0, 0, 473
